M
                     Sri Annamalaiyar Pattasu Kadai
                       No 5A, RAILWAY STATION ROAD
                          METTUPALAYAM - 641301
                    CELL NO - 98437 44144, 93449 22273

                  Retail Sales Period Wise Report Details
Report for the date from 14/10/2017 to 14/10/2017
--------------------------------------------------------------------------------
Bill No  ICode  Item Name               Item Type  Item Rate  Quantity   Total Amt
25       5      12CM RED OR GREEN SPAR  BOXES          60.00      5.00      300.00
25       105    ELECTRIC STONE          BOXES          35.00      2.00       70.00
25       108    CHAMPION 7 IN 1         BOXES          50.00      1.00       50.00
26       38     HIMALAYAN 120CM         BOXES         160.00      1.00      160.00
26       61     POWER 1 GARLAND 100 WA  BOXES          50.00      2.00      100.00
26       103    ROLL CAP                BOXES          60.00      3.00      180.00
26       118    MINI                    BOXES          35.00      1.00       35.00
26       115    FIGHT WITH COVER        BOXES          45.00      1.00       45.00
26       122    NANO                    BOXES          40.00      1.00       40.00
26       45     RED BIJILI              BOXES          60.00      2.00      120.00
26       30     COLOUR CHANGING WHEEL   BOXES         160.00      1.00      160.00
26       8      15CM ELECTRIC SPARKLER  BOXES          58.00      2.00      116.00
26       17     FLOWER POT SMALL 10PCS  BOXES          70.00      1.00       70.00
26       4      12CM COLOUR OR CRACKLI  BOXES          40.00      2.00       80.00
26       21     FLOWER POT SPECIAL 10   BOXES         140.00      1.00      140.00
26       5      12CM RED OR GREEN SPAR  BOXES          60.00      4.00      240.00
26       2      10CM ELECTRIC SPARKLER  BOXES          30.00      2.00       60.00
26       11     30CM ELECTRIC SPARKLER  BOXES          58.00      2.00      116.00
26       107    MAJESTIC 5IN 1          BOXES          85.00      3.00      255.00
27       11     30CM ELECTRIC SPARKLER  BOXES          58.00      1.00       58.00
27       2      10CM ELECTRIC SPARKLER  BOXES          30.00      4.00      120.00
27       1      10CM CRACKLING SPARKLE  BOXES          25.00      2.00       50.00
27       30     COLOUR CHANGING WHEEL   BOXES         160.00      1.00      160.00
27       18     FLOWER POT BIG 10PCS    BOXES         105.00      1.00      105.00
28       30     COLOUR CHANGING WHEEL   BOXES         160.00      1.00      160.00
28       2      10CM ELECTRIC SPARKLER  BOXES          30.00      2.00       60.00
28       21     FLOWER POT SPECIAL 10   BOXES         140.00      1.00      140.00
29       107    MAJESTIC 5IN 1          BOXES          85.00      1.00       85.00
29       115    FIGHT WITH COVER        BOXES          45.00      1.00       45.00
29       122    NANO                    BOXES          40.00      1.00       40.00
29       103    ROLL CAP                BOXES          60.00      1.00       60.00
29       45     RED BIJILI              BOXES          60.00      1.00       60.00
29       11     30CM ELECTRIC SPARKLER  BOXES          58.00      6.00      348.00
29       39     MAGNETIC TORCHES        BOXES         100.00      1.00      100.00
29       21     FLOWER POT SPECIAL 10   BOXES         140.00      1.00      140.00
29       37     TWINKLING STAR 45CM     BOXES          45.00      1.00       45.00
29       30     COLOUR CHANGING WHEEL   BOXES         160.00      1.00      160.00
29       47     56 WALA CHORSA GARLAND  BOXES          55.00      2.00      110.00
30       121    BLACK                   BOXES          70.00      2.00      140.00
